2017-04-26 11:05:01.879,
2017-04-26 11:15:03.405,
2017-04-26 11:25:04.084,
2017-04-26 11:35:04.884,
2017-04-26 11:45:04.035,
2017-04-26 11:55:04.813,
2017-04-26 12:05:06.334,
2017-04-26 12:15:07.419,
2017-04-26 12:25:09.938,
2017-04-26 12:35:09.099,
2017-04-26 12:45:09.842,
2017-04-26 12:55:10.889,
2017-04-26 13:05:10.219,
2017-04-26 13:15:11.213,
2017-04-26 13:25:11.190,
2017-04-26 13:35:13.013,
2017-04-26 13:45:15.677,
2017-04-26 13:55:17.472,
2017-04-26 14:05:18.354,
2017-04-26 14:15:20.845,
2017-04-26 14:25:20.937,
2017-04-26 14:35:21.187,
2017-04-26 14:45:21.100,
2017-04-26 14:55:23.431,
2017-04-26 15:05:24.954,
2017-04-26 15:15:24.260,
2017-04-26 15:25:24.069,
2017-04-26 15:35:26.598,
2017-04-26 15:45:26.748,
2017-04-26 15:55:28.777,
2017-04-26 16:05:30.559,
2017-04-26 16:15:31.064,
2017-04-26 16:25:31.913,
2017-04-26 16:35:31.350,
2017-04-26 16:45:31.596,
2017-04-26 16:55:32.009,
2017-04-26 17:05:34.557,
2017-04-26 17:15:35.509,
2017-04-26 17:25:37.506,
2017-04-26 17:35:37.696,
2017-04-26 17:45:38.175,
2017-04-26 17:55:38.961,
2017-04-26 18:05:40.162,
2017-04-26 18:15:40.236,
2017-04-26 18:25:40.724,
2017-04-26 18:35:42.552,
2017-04-26 18:45:44.157,
2017-04-26 18:55:44.871,
2017-04-26 19:05:44.856,
2017-04-26 19:15:44.690,
2017-04-26 19:25:46.768,
2017-04-26 19:35:47.338,
2017-04-26 19:45:49.247,
2017-04-26 19:55:49.336,
2017-04-26 20:05:49.491,
2017-04-26 20:15:51.918,
2017-04-26 20:25:53.693,
2017-04-26 20:35:55.615,
2017-04-26 20:45:57.440,
2017-04-26 20:55:59.469,
2017-04-26 21:06:01.218,
2017-04-26 21:16:03.799,
2017-04-26 21:26:03.342,
2017-04-26 21:36:05.149,
2017-04-26 21:46:06.892,
2017-04-26 21:56:06.003,
2017-04-26 22:06:08.890,
2017-04-26 22:16:09.042,
2017-04-26 22:26:11.892,
2017-04-26 22:36:11.947,
2017-04-26 22:46:13.115,
2017-04-26 22:56:13.754,
2017-04-26 23:06:15.097,
2017-04-26 23:16:15.367,
2017-04-26 23:26:17.574,
2017-04-26 23:36:17.053,
2017-04-26 23:46:17.209,
2017-04-26 23:56:18.871,
2017-04-27 00:06:18.523,
2017-04-27 00:16:20.454,
2017-04-27 00:26:22.212,
2017-04-27 00:36:23.131,
2017-04-27 00:46:23.854,
2017-04-27 00:56:25.296,
2017-04-27 01:06:26.904,
2017-04-27 01:16:28.833,
2017-04-27 01:26:29.108,
2017-04-27 01:36:29.179,
2017-04-27 01:46:29.958,
2017-04-27 01:56:30.095,
