40.026,38,39,3701,10880
40.034,31,30,2848,11835
40.033,32,31,2937,11928
40.035,31,30,2848,11835
40.047,31,29,2763,10708
40.038,28,28,2606,11021
40.044,28,28,2606,10908
40.032,29,28,2646,11088
40.043,29,32,2999,11886
40.026,30,30,2791,11019
40.034,29,38,2743,11724
40.052,30,34,2922,11644
40.034,31,35,2892,11725
40.737,30,31,2689,10698
40.039,31,32,2890,10982
40.049,32,34,2906,11732
40.035,28,36,2782,11842
40.081,28,29,2606,10687
40.032,31,31,2763,10826
40.046,29,30,2646,10733
40.037,29,30,2683,10812
40.046,29,28,2646,10641
40.041,29,28,2646,10641
40.042,29,28,2646,10641
40.049,29,30,2646,10733
39.759,30,31,2723,10826
40.033,27,28,2566,10641
40.027,28,28,2606,10641
40.341,28,29,2784,10643
40.313,29,29,2803,10672
40.089,28,31,2694,10632
40.212,31,29,2901,10611
40.091,32,32,2953,11699
40.082,29,28,2790,10634
40.611,28,31,2802,11640
40.342,27,34,2644,11894
40.213,30,31,2804,10836
40.099,31,39,2843,11940
40.022,30,29,2890,10689
40.834,29,31,2904,11743
40.382,28,32,2689,11844
40.021,28,32,2645,11047
40.049,31,34,2904,11852
40.089,29,38,2893,11905
40.121,32,31,2952,10744
40.012,30,32,2899,10852
40.023,30,39,2865,11952
40.081,31,38,2894,11842
40.027,32,35,2968,11803
40.031,31,38,2894,11802
40.034,29,29,2753,10838
40.083,28,38,2857,11689
40.043,28,31,2763,10649
40.032,29,31,2845,10792
40.054,32,35,2952,11698
40.042,32,35,2809,11523
40.046,31,38,2823,11802
40.036,30,29,2849,10634
40.094,29,38,2743,11724
40.042,31,34,2922,11644
40.105,28,35,2892,11725
40.053,27,31,2689,10698
40.091,29,32,2890,10982
40.023,29,34,2906,11732
40.099,28,36,2782,11842
40.021,31,34,2904,11044
40.109,32,38,2953,11080
40.123,29,31,2635,10609
40.793,30,31,2780,10804
40.082,27,35,2636,10709
40.089,28,36,2845,11334
40.078,31,38,2966,11909
40.801,30,34,2904,11520
40.072,31,31,2954,10840
40.245,29,30,2835,10648
40.189,28,31,2734,10984
40.093,29,30,2702,10649
40.072,31,32,2934,10904
40.034,32,34,2889,11890
40.794,30,31,2934,10690
40.048,29,33,2554,10940
40.703,28,34,2788,10621
40.091,31,31,2950,11244
40.072,30,29,2945,10790
40.059,28,33,2758,11480
40.022,29,30,2702,10898
40.067,30,30,2951,10972
40.797,31,31,2850,10982
40.083,30,34,2985,11722
40.029,32,30,2994,11084
40.703,30,31,2895,10825
40.094,31,34,2959,11842
40.638,31,31,2979,10952
40.652,29,36,2751,11822
40.023,29,30,2702,10790
40.744,30,36,2926,11805
40.093,31,31,2984,10693
40.574,32,31,2955,10790
40.067,32,34,2982,11608
40.792,31,31,2978,10805
40.743,31,33,2992,11505
40.064,30,37,2909,11808
40.234,29,33,2845,10905
40.088,30,31,2813,10698
